?# English
new_event_event_type;"Type"
new_event_name;"Name"
new_event_place;"Place"
new_event_is_any_time;"Any time"
new_event_is_all_day;"All day"
new_event_begin_date;"Begin date"
new_event_end_date;"End date"
new_event_begin_time;"Begin time"
new_event_end_time;"End time"
new_event_description;"Description"
new_event_description_toggle_editor;"Toggle Editor"
new_event_tree_ids;"Category"
new_event_is_free;"Free?"
new_event_min_price;"Min. Price"
new_event_max_price;"Max. Price"

new_event_save;"Save"
new_event_submit;"Submit"
new_event_more_detail;"Save and submit more details..."
