?# 繁體中文(香港)
?# head menu
Hi;"你好"
Your Feed;"你的動態"
Your Interests;"你的興趣"
Your Account;"你的帳戶"
Logout;"登出"
Disclose!;"爆料!"
Report!;"爆料!"
Promotion News;"熱賣優惠"
Nearby Store;"樓下熱店"
Sell;"我要賣"
Products;"產品"
Services;"服務"
You are retailer?;"你是樓下店主?"
Categories;"分類目錄"
Clouds;"雲群"
Activity;"活動"
Bookmark;"關注"
Bookmark This Page;"添加此項目到書簽"
Handle Bookmark;"管理書簽"
Signup;"登記"
Login;"登入"
Individuals;"用戶"
Please enter keyword;"輸入關鍵字"
From;"從"
To;"到"
All time;"任何時間"
?# Post Event;"刊登活動"
Post Event;"爆料"
My Interest;"我的興趣"

?# breadcrumb
You are in: ;"你正在瀏覽："
Home;主頁


?# category
Activities;"活動"
Public Events;"公眾活動"
Meetups;"聚會"
Sports;"運動"
Traveling;"旅遊"
Sales & Promotions;"銷售及推廣"
Foods & Drinks;"飲食"
Tutoring;"補習"
Books;"書籍"
Musics;"音樂"
Fashionables;"潮物"
Games & Toys;"遊戲及玩具"
Sport Equipments;"體育用品"
Computer & Electronics;"電腦及電子產品"
Pets;"寵物"

?# side bar
More;"更多"
Add event;"加活動"
My Bookmark;"我的關注"
Bookmark Suggestions;"關注建議"
More bookmarked events;"更多關注活動"
Add bookmarked event;"添加關注活動"
Different bookmark combinations;"不同的關注組合"
Newest;"最新"
Unbookmarked;"已取消關注"

?# event
start: ;"開始"
Event Time: ;"活動時間："
Place: ;"地點："
Bookmarked: ;"最愛人數："
Organiser Name: ;"主辦者姓名："
Organiser Tel: ;"主辦者電話："
Organiser Email: ;"主辦者電郵："
Organiser Website;"主辦者網站"
Organiser Website: ;"主辦者網站："
Application Place: ;"登記地點："
Application Time: ;"登記時間："
Price: ;"費用："
Price Note: ;"費用資訊："
Traffic Note: ;"交通資訊："
Free!;"免費"

?# front feed
sort by: ;"排列："
ending;"即將到期"
new;"新近"
hot;"熱門"
match interest;"符合興趣"
match location;"符合地區"
save this location;"儲存這個位置"
manage saved location(s);"管理已存位置"
saved locations;"已存位置"
last location;"先前位置"
locate somewhere;"定位某處"
geolocate here;"定位這裡"
refresh;"刷新"
show map;"顯示地圖"
hide map;"隱藏地圖"
your concerned tags;"你曾關心的標簽"
by score and then recent like time;"以分數及最近like的時間排列"
within %1$s km of %2$s;"在%2$s某處方圓%1$s公里內"
trend;"趨勢走向"
most liked tags;"最受歡迎標簽"
newly added collaborative tags;"新加協作標簽"
ads based on user's liked tags;"依用戶興趣的廣告位"
day;"日"
week;"周"
month;"月"
year;"年"
all time;"任何時間"
you may be interested in;"你或許對這些感興趣"
expand...;"展開..."
collapse...;"收回..."
No results found. Please loosen your filter or specify more interests.;"沒有結果，請放寛篩選條件。"
Loading;"載入中"
loading;"載入中"
same name exists in your saved locations, please use another one.;"您的位置清單裡已有這個名稱，請改另一個名稱。"
your tagcloud filter;"篩選你的標簽"
first %1$s;"頭 %1$s 個"
all ( %1$s );"全部 ( %1$s )"
clouds following;"雲追蹤"
expand;"展開"
collapse;"縮回"
Halt publishing!;"暫停發佈！"
Publish!;"發佈！"
Edit;"編輯"
Save and go to Advanced...;"儲存並前往進階..."

?# feed item + form
User;"用戶"
user;"用戶"
Username;"用戶名"
Type;"類型"
Product;"產品"
Service;"服務"
Title;"標題"
Name;"名稱"
Description;"描述"
Source;"資料來源"
category;"分類"
Price;"費用"
Discount Price;"特價"
Promotion!;"促銷!"
Time Zone;"時區"
Begin Date;"起始日期"
End Date;"結束日期"
Promotion Price;"促銷價"
Not assigned;"未分配"
Post on;"發布至"
Hand-Deliver Place;"交收地點"
If not specified, The address specified on the profile(s) you will post on would be used.;"如不指明，則會使用你即將發布的版面上所指明的地址"
Image(s);"圖片"
Tag(s);"標簽"
Pending Tag(s);"待決標簽"
Create time;"創建時間"
interested user count;"感興趣人數"
Interest me no more;"不再感興趣"
Interest me;"感興趣"
Submit;"提交"
begin time;"開始時間"
end time;"結束時間"
promotion;"推廣"
type;"類型"
place;"地點"
description;"描述"
tags;"標簽"
price;"價錢"
interested user cnt;"感興趣人數"
about a month;"約一個月"
" ago";"前"
"from now";"由現在"
"%d days";"%d日"
"%d minutes";"%d分鐘"
"about a minute";"約一分鐘"
"about an hour";"約一小時"
"about %d hours";"約%d小時"
"a day";"一日"
%d months;"%d個月"
about a year;"約一年"
%d years;"%d年"
less than a minute;"小於一分鐘"
"%1$s You %2$s like this";"%1$s你%2$s讚這好"
%1$s %2$d Persons %3$s and %4$s you %5$s like this;"%4$s你%5$s 及%1$s %2$d 人%3$s 讚這好"
"%1$s %2$d Persons %3$s like this";"%1$s %2$d 人%3$s讚這好"
"%1$s 1 Person %2$s likes this";"%1$s 1 人%2$s讚這好"
"show more comments";"顯示更多留言"
"write a comment";"留一下言"
"comment";"留言"
